monument,monumentLabel,founder,founderLabel,genderLabel,birthDate,deathDate,lifespan,birthCountryLabel,deathCountryLabel,universityLabel
http://www.wikidata.org/entity/Q131679248,Городище Берёзовское (Берёзово),http://www.wikidata.org/entity/Q4123535,Михаил Константинович Волконский,мужской пол,http://www.wikidata.org/.well-known/genid/56d234e29eea7a1c98577564ea37e96f,1610-01-01T00:00:00Z,,,Россия,
http://www.wikidata.org/entity/Q20514223,Памятник Армену Тиграняну,http://www.wikidata.org/entity/Q4457125,"Тигранян, Эдмонд Арменович",мужской пол,1911-03-22T00:00:00Z,1994-12-21T00:00:00Z,83,Армения,Армения,Санкт-Петербургский государственный архитектурно-строительный университет
http://www.wikidata.org/entity/Q7126264,Palace of the Councils,http://www.wikidata.org/entity/Q3002934,"Кристобаль де Сандоваль, герцог Уседа",мужской пол,1581-04-22T00:00:00Z,1624-05-31T00:00:00Z,43,Испания,Испания,
http://www.wikidata.org/entity/Q4113390,Владычная палата,http://www.wikidata.org/entity/Q4173525,Евфимий II (архиепископ Новгородский),мужской пол,1400-01-01T00:00:00Z,1458-03-20T00:00:00Z,58,Россия,Россия,
http://www.wikidata.org/entity/Q1552535,монастырь Карраседо,http://www.wikidata.org/entity/Q4705710,Sancha Raimúndez,женский пол,1095-01-01T00:00:00Z,1159-03-09T00:00:00Z,64,,Испания,
http://www.wikidata.org/entity/Q5142855,Colegio Mayor de Santiago el Zebedeo,http://www.wikidata.org/entity/Q3320905,Алонсо III Фонсека,мужской пол,1475-01-01T00:00:00Z,1534-02-14T00:00:00Z,59,Испания,Испания,Университет Саламанки
http://www.wikidata.org/entity/Q123003923,Donkin Memorial,http://www.wikidata.org/entity/Q1800501,Rufane Shaw Donkin,мужской пол,1773-01-01T00:00:00Z,1841-05-01T00:00:00Z,68,Великобритания,Великобритания,
http://www.wikidata.org/entity/Q28153633,Mission Dolores State Historic Site,http://www.wikidata.org/entity/Q4776777,Antonio Margil,мужской пол,1657-08-18T00:00:00Z,1726-08-06T00:00:00Z,69,Испания,Мексика,
http://www.wikidata.org/entity/Q570586,Colegio de San Gregorio,http://www.wikidata.org/entity/Q2876903,Alonso de Burgos,мужской пол,1415-01-01T00:00:00Z,1499-11-17T00:00:00Z,84,Испания,Испания,
http://www.wikidata.org/entity/Q13668536,мыза Рябово,http://www.wikidata.org/entity/Q4492760,"Фридрикс, Иван Юрьевич",мужской пол,1723-04-28T00:00:00Z,1779-10-11T00:00:00Z,56,Россия,Россия,
http://www.wikidata.org/entity/Q10380836,Ilê Axé Iyá Omin Iyamassê,http://www.wikidata.org/entity/Q1796410,Mãe Menininha do Gantois,женский пол,1894-02-10T00:00:00Z,1986-08-13T00:00:00Z,92,Бразилия,Бразилия,
http://www.wikidata.org/entity/Q22130875,Kōdōkan,http://www.wikidata.org/entity/Q3196280,Киэн Минагава,мужской пол,1735-01-01T00:00:00Z,1807-06-21T00:00:00Z,72,Япония,Япония,
http://www.wikidata.org/entity/Q5142855,Colegio Mayor de Santiago el Zebedeo,http://www.wikidata.org/entity/Q3320905,Алонсо III Фонсека,мужской пол,1476-01-01T00:00:00Z,1534-02-14T00:00:00Z,58,Испания,Испания,Университет Саламанки
http://www.wikidata.org/entity/Q4240417,Крестовские водонапорные башни,http://www.wikidata.org/entity/Q4061701,"Алексеев, Николай Александрович",мужской пол,1852-10-27T00:00:00Z,1893-03-13T00:00:00Z,41,Россия,Россия,
http://www.wikidata.org/entity/Q6059887,Royal Pantheon,http://www.wikidata.org/entity/Q1847459,Санча Леонская,женский пол,1018-01-01T00:00:00Z,0067-11-05T00:00:00Z,-951,,Испания,
http://www.wikidata.org/entity/Q16716341,Часовня Стемпковского,http://www.wikidata.org/entity/Q4497379,Захар Семёнович Херхеулидзев,мужской пол,1797-01-01T00:00:00Z,1856-04-02T00:00:00Z,59,,Россия,
http://www.wikidata.org/entity/Q16716341,Часовня Стемпковского,http://www.wikidata.org/entity/Q4497379,Захар Семёнович Херхеулидзев,мужской пол,1797-01-01T00:00:00Z,1856-04-02T00:00:00Z,59,,Украина,
http://www.wikidata.org/entity/Q25556753,Ljubuški Fortress,http://www.wikidata.org/entity/Q1312266,Степан Вукчич Косача,мужской пол,1404-01-01T00:00:00Z,1466-05-22T00:00:00Z,62,Босния и Герцеговина,Черногория,
http://www.wikidata.org/entity/Q389366,Morokulien,http://www.wikidata.org/entity/Q3354807,Леннарт Хайланд,мужской пол,1919-09-24T00:00:00Z,1993-03-15T00:00:00Z,74,Швеция,Швеция,
http://www.wikidata.org/entity/Q11771815,Mausoleum of Potocki family in Wilanów,http://www.wikidata.org/entity/Q2832518,Александр Станислав Потоцкий,мужской пол,1778-05-15T00:00:00Z,1845-03-26T00:00:00Z,67,Польша,Польша,
http://www.wikidata.org/entity/Q1775481,Ла-Эспина,http://www.wikidata.org/entity/Q4705710,Sancha Raimúndez,женский пол,1095-01-01T00:00:00Z,1159-03-09T00:00:00Z,64,,Испания,
http://www.wikidata.org/entity/Q136673447,Q136673447,http://www.wikidata.org/entity/Q4481414,Фатали-хан,мужской пол,1736-01-01T00:00:00Z,1789-04-02T00:00:00Z,53,Азербайджан,Азербайджан,
http://www.wikidata.org/entity/Q1517058,Monastery of San Salvador de Celanova,http://www.wikidata.org/entity/Q2659457,Росендо,мужской пол,0907-12-01T00:00:00Z,0977-03-06T00:00:00Z,70,Португалия,Испания,
http://www.wikidata.org/entity/Q4082904,Белохолуницкий машстройзавод,http://www.wikidata.org/entity/Q4539078,Аникита Сергеевич Ярцов,мужской пол,1737-08-17T00:00:00Z,1819-08-14T00:00:00Z,82,Россия,Российская империя,Императорский Московский университет
http://www.wikidata.org/entity/Q7023662,Niagara Falls Hydraulic Power and Manufacturing Company,http://www.wikidata.org/entity/Q5019304,Caleb Smith Woodhull,мужской пол,1792-02-26T00:00:00Z,1866-07-16T00:00:00Z,74,США,США,Йельский университет
http://www.wikidata.org/entity/Q5407312,Palacio de Elsedo,http://www.wikidata.org/entity/Q5867961,Francisco de Hermosa,мужской пол,1657-01-01T00:00:00Z,1714-12-15T00:00:00Z,57,Испания,Испания,
http://www.wikidata.org/entity/Q11374763,Kyoto Kanda Myōjin Shrine,http://www.wikidata.org/entity/Q2975265,Куя,мужской пол,0903-01-01T00:00:00Z,0972-10-25T00:00:00Z,69,,Япония,
http://www.wikidata.org/entity/Q3888432,Castle of Buitrago del Lozoya,http://www.wikidata.org/entity/Q5274703,"Диего Уртадо де Мендоса де ла Вега-и-Луна, 3-й герцог дель Инфантадо",мужской пол,1461-03-20T00:00:00Z,1531-09-09T00:00:00Z,70,Испания,Испания,
http://www.wikidata.org/entity/Q4189689,Звонница на Прохоровском поле,http://www.wikidata.org/entity/Q2386307,"Клыков, Вячеслав Михайлович",мужской пол,1939-10-19T00:00:00Z,2006-06-02T00:00:00Z,67,Россия,Россия,Московский государственный академический художественный институт имени В. И. Сурикова
http://www.wikidata.org/entity/Q5142855,Colegio Mayor de Santiago el Zebedeo,http://www.wikidata.org/entity/Q3320905,Алонсо III Фонсека,мужской пол,1475-01-01T00:00:00Z,1534-01-01T00:00:00Z,59,Испания,Испания,Университет Саламанки
http://www.wikidata.org/entity/Q42431185,Фёдоровский геологический музей,http://www.wikidata.org/entity/Q726827,Евграф Степанович Фёдоров,мужской пол,1853-12-22T00:00:00Z,1919-05-21T00:00:00Z,66,Россия,Россия,Военно-медицинская академия имени С. М. Кирова
http://www.wikidata.org/entity/Q13016474,Phitsanulok Mansion,http://www.wikidata.org/entity/Q161389,Вачиравуд,мужской пол,1881-01-01T00:00:00Z,1925-11-25T00:00:00Z,44,Таиланд,Таиланд,Королевское военное училище
http://www.wikidata.org/entity/Q890652,Церковь Богородица Левишка,http://www.wikidata.org/entity/Q319597,Стефан Урош II Милутин,мужской пол,1253-01-01T00:00:00Z,1321-11-06T00:00:00Z,68,,Сербия,
http://www.wikidata.org/entity/Q5957084,Мавзолей Надир-шаха,http://www.wikidata.org/entity/Q192868,Надир-шах,мужской пол,1698-08-06T00:00:00Z,1747-06-20T00:00:00Z,49,Иран,Иран,
http://www.wikidata.org/entity/Q6403410,Мавзолей Абдуллаха Ансари,http://www.wikidata.org/entity/Q553204,Шахрух,мужской пол,1377-08-28T00:00:00Z,1447-03-13T00:00:00Z,70,Узбекистан,Иран,
http://www.wikidata.org/entity/Q1997245,Эль-Парраль,http://www.wikidata.org/entity/Q310918,Энрике IV,мужской пол,1425-01-14T00:00:00Z,1474-12-20T00:00:00Z,49,Испания,Испания,
http://www.wikidata.org/entity/Q794349,Дворец Бейлербейи,http://www.wikidata.org/entity/Q151500,Абдул-Азиз,мужской пол,1830-02-08T00:00:00Z,1876-06-04T00:00:00Z,46,Турция,Турция,
http://www.wikidata.org/entity/Q42431185,Фёдоровский геологический музей,http://www.wikidata.org/entity/Q726827,Евграф Степанович Фёдоров,мужской пол,1853-12-22T00:00:00Z,1919-05-21T00:00:00Z,66,Россия,Россия,Горный институт
http://www.wikidata.org/entity/Q42431185,Фёдоровский геологический музей,http://www.wikidata.org/entity/Q726827,Евграф Степанович Фёдоров,мужской пол,1853-12-22T00:00:00Z,1919-05-21T00:00:00Z,66,Россия,Россия,Санкт-Петербургский государственный технологический институт
http://www.wikidata.org/entity/Q1137661,Грачаница,http://www.wikidata.org/entity/Q319597,Стефан Урош II Милутин,мужской пол,1253-01-01T00:00:00Z,1321-11-20T00:00:00Z,68,,Сербия,
http://www.wikidata.org/entity/Q1552535,монастырь Карраседо,http://www.wikidata.org/entity/Q342520,Бермудо II,мужской пол,0948-01-01T00:00:00Z,0999-09-09T00:00:00Z,51,,Испания,
http://www.wikidata.org/entity/Q43115071,Monastery of the Anunciación,http://www.wikidata.org/entity/Q174880,Тереза Авильская,женский пол,1515-04-07T00:00:00Z,1582-10-15T00:00:00Z,67,Испания,Испания,
http://www.wikidata.org/entity/Q4158660,Дербентская крепость,http://www.wikidata.org/entity/Q207381,Хосров I Ануширван,мужской пол,0501-01-01T00:00:00Z,0579-01-01T00:00:00Z,78,Иран,Ирак,
http://www.wikidata.org/entity/Q6059887,Royal Pantheon,http://www.wikidata.org/entity/Q296863,Фердинанд I Великий,мужской пол,1016-01-01T00:00:00Z,1066-01-02T00:00:00Z,50,Испания,Испания,
http://www.wikidata.org/entity/Q110316898,Ворота Каракуль,http://www.wikidata.org/entity/Q317649,Абдулла-хан II,мужской пол,1533-01-01T00:00:00Z,1598-01-01T00:00:00Z,65,,Узбекистан,
http://www.wikidata.org/entity/Q7070003,медресе Нурийя,http://www.wikidata.org/entity/Q312973,Нур ад-Дин Махмуд,мужской пол,1118-02-18T00:00:00Z,1174-05-22T00:00:00Z,56,Зангиды,Сирия,
http://www.wikidata.org/entity/Q1516753,Сайходзи,http://www.wikidata.org/entity/Q384703,Мусо Сосэки,мужской пол,1275-01-01T00:00:00Z,1351-10-28T00:00:00Z,76,Япония,Япония,
http://www.wikidata.org/entity/Q11550313,Yōfuku-ji,http://www.wikidata.org/entity/Q242800,Минамото-но Ёритомо,мужской пол,1147-05-16T00:00:00Z,1199-02-09T00:00:00Z,52,Япония,Япония,
http://www.wikidata.org/entity/Q1552535,монастырь Карраседо,http://www.wikidata.org/entity/Q342520,Бермудо II,мужской пол,0953-01-01T00:00:00Z,0999-09-09T00:00:00Z,46,,Испания,
http://www.wikidata.org/entity/Q5776807,коллегиальная церковь Сан-Косме в Сан-Дамиане,http://www.wikidata.org/entity/Q334796,Хиндасвинт,мужской пол,0563-01-01T00:00:00Z,0653-10-03T00:00:00Z,90,Испания,Испания,
http://www.wikidata.org/entity/Q124669910,Колонна мира,http://www.wikidata.org/entity/Q132711,Павел V,мужской пол,1552-09-27T00:00:00Z,1621-01-28T00:00:00Z,69,Италия,Италия,Болонский университет
http://www.wikidata.org/entity/Q115856,Дзуйходэн,http://www.wikidata.org/entity/Q115852,Тадамунэ Датэ,мужской пол,1600-01-23T00:00:00Z,1658-08-10T00:00:00Z,58,Япония,Япония,
http://www.wikidata.org/entity/Q1352282,Национальный археологический музей,http://www.wikidata.org/entity/Q183085,Изабелла II,женский пол,1830-10-10T00:00:00Z,1904-04-09T00:00:00Z,74,Испания,Франция,
http://www.wikidata.org/entity/Q9054574,Palacio de Villena,http://www.wikidata.org/entity/Q251471,Альваро де Луна,мужской пол,1390-01-01T00:00:00Z,1453-06-20T00:00:00Z,63,Испания,Испания,
http://www.wikidata.org/entity/Q5776807,коллегиальная церковь Сан-Косме в Сан-Дамиане,http://www.wikidata.org/entity/Q334796,Хиндасвинт,мужской пол,0563-01-01T00:00:00Z,0653-10-03T00:00:00Z,90,Португалия,Испания,
http://www.wikidata.org/entity/Q13016474,Phitsanulok Mansion,http://www.wikidata.org/entity/Q161389,Вачиравуд,мужской пол,1881-01-01T00:00:00Z,1925-11-25T00:00:00Z,44,Таиланд,Таиланд,Крайст-черч
http://www.wikidata.org/entity/Q1812874,San Miguel de Lillo,http://www.wikidata.org/entity/Q168363,Рамиро I,мужской пол,0791-01-01T00:00:00Z,0850-02-05T00:00:00Z,59,Испания,Испания,
http://www.wikidata.org/entity/Q849517,Монастырь Высокие Дечаны,http://www.wikidata.org/entity/Q314346,Стефан Урош III Дечанский,мужской пол,1276-01-01T00:00:00Z,1331-11-11T00:00:00Z,55,,Сербия,
http://www.wikidata.org/entity/Q124669910,Колонна мира,http://www.wikidata.org/entity/Q132711,Павел V,мужской пол,1552-09-27T00:00:00Z,1621-01-28T00:00:00Z,69,Италия,Италия,Падуанский университет
http://www.wikidata.org/entity/Q131537867,Nobile monument,http://www.wikidata.org/entity/Q291200,Умберто Нобиле,мужской пол,1885-01-21T00:00:00Z,1978-07-30T00:00:00Z,93,Италия,Италия,Неаполитанский университет имени Фридриха II
http://www.wikidata.org/entity/Q5957084,Мавзолей Надир-шаха,http://www.wikidata.org/entity/Q192868,Надир-шах,мужской пол,1688-10-22T00:00:00Z,1747-06-19T00:00:00Z,59,Иран,Иран,
http://www.wikidata.org/entity/Q558159,Мечеть Туркменбаши Рухы,http://www.wikidata.org/entity/Q82918,Сапармурат Атаевич Ниязов,мужской пол,1940-02-19T00:00:00Z,2006-12-21T00:00:00Z,66,Туркменистан,Туркменистан,Санкт-Петербургский политехнический университет Петра Великого
http://www.wikidata.org/entity/Q3630998,Bara Imambara,http://www.wikidata.org/entity/Q719552,Асаф ад-Даул,мужской пол,1748-09-23T00:00:00Z,1797-09-21T00:00:00Z,49,Индия,Индия,
http://www.wikidata.org/entity/Q7070003,медресе Нурийя,http://www.wikidata.org/entity/Q312973,Нур ад-Дин Махмуд,мужской пол,1118-02-18T00:00:00Z,1174-05-22T00:00:00Z,56,Ирак,Сирия,
http://www.wikidata.org/entity/Q558159,Мечеть Туркменбаши Рухы,http://www.wikidata.org/entity/Q82918,Сапармурат Атаевич Ниязов,мужской пол,1940-02-19T00:00:00Z,2006-12-21T00:00:00Z,66,Туркменистан,Туркменистан,Высшая партийная школа при ЦК КПСС
http://www.wikidata.org/entity/Q1934670,Замок королей Наваррских,http://www.wikidata.org/entity/Q358365,Карл III,мужской пол,1361-07-22T00:00:00Z,1425-09-08T00:00:00Z,64,Франция,Испания,
http://www.wikidata.org/entity/Q645181,Латеранский обелиск,http://www.wikidata.org/entity/Q157985,Тутмос IV,мужской пол,-1500-01-01T00:00:00Z,-1389-01-01T00:00:00Z,111,,Египет,
http://www.wikidata.org/entity/Q5655899,"Convent of Santa Teresa, Valladolid",http://www.wikidata.org/entity/Q174880,Тереза Авильская,женский пол,1515-04-07T00:00:00Z,1582-10-15T00:00:00Z,67,Испания,Испания,
http://www.wikidata.org/entity/Q7070003,медресе Нурийя,http://www.wikidata.org/entity/Q312973,Нур ад-Дин Махмуд,мужской пол,1118-02-18T00:00:00Z,1174-05-22T00:00:00Z,56,Аббасидский халифат,Сирия,
http://www.wikidata.org/entity/Q20042067,Nirayama Reverberatory Furnaces,http://www.wikidata.org/entity/Q366267,Эгава Хидэтацу,мужской пол,1801-06-23T00:00:00Z,1855-03-01T00:00:00Z,54,Япония,Япония,
http://www.wikidata.org/entity/Q9004968,Hospital del Rey,http://www.wikidata.org/entity/Q295268,Альфонсо VIII,мужской пол,1155-11-18T00:00:00Z,1214-10-12T00:00:00Z,59,Испания,Испания,
http://www.wikidata.org/entity/Q1137661,Грачаница,http://www.wikidata.org/entity/Q319597,Стефан Урош II Милутин,мужской пол,1253-01-01T00:00:00Z,1321-11-06T00:00:00Z,68,,Сербия,
http://www.wikidata.org/entity/Q115856,Дзуйходэн,http://www.wikidata.org/entity/Q115852,Тадамунэ Датэ,мужской пол,1600-01-23T00:00:00Z,1658-08-10T00:00:00Z,58,Япония,Сёгунат Токугава,
http://www.wikidata.org/entity/Q242803,Ясукуни,http://www.wikidata.org/entity/Q174231,Император Мэйдзи,мужской пол,1852-11-03T00:00:00Z,1912-07-30T00:00:00Z,60,Япония,Япония,
http://www.wikidata.org/entity/Q102109147,Cross of María Isabel Luisa,http://www.wikidata.org/entity/Q186256,Фердинанд VII,мужской пол,1784-10-14T00:00:00Z,1833-09-29T00:00:00Z,49,Испания,Испания,
http://www.wikidata.org/entity/Q4702149,Al-Adiliyah Madrasa,http://www.wikidata.org/entity/Q285133,Аль-Адиль I Ахмад ибн Айюб,мужской пол,1145-06-01T00:00:00Z,1218-09-07T00:00:00Z,73,Ливан,Сирия,
http://www.wikidata.org/entity/Q124669910,Колонна мира,http://www.wikidata.org/entity/Q132711,Павел V,мужской пол,1552-09-27T00:00:00Z,1621-01-28T00:00:00Z,69,Италия,Италия,Университет Перуджи
http://www.wikidata.org/entity/Q838359,Мечеть имама Али,http://www.wikidata.org/entity/Q506243,Азуд ад-Доуле,мужской пол,0936-09-24T00:00:00Z,0983-03-26T00:00:00Z,47,Иран,Ирак,
http://www.wikidata.org/entity/Q1720229,Латинские ворота,http://www.wikidata.org/entity/Q159798,Гонорий,мужской пол,0384-09-10T00:00:00Z,0423-08-16T00:00:00Z,39,Турция,Италия,
http://www.wikidata.org/entity/Q5142854,Colegio Mayor de San Ildefonso,http://www.wikidata.org/entity/Q342392,Франсиско Хименес де Сиснерос,мужской пол,1436-01-01T00:00:00Z,1517-11-18T00:00:00Z,81,Испания,Испания,Университет Саламанки
http://www.wikidata.org/entity/Q2796063,склеп Нассау-Зингенов,http://www.wikidata.org/entity/Q321492,Иоганн Мориц Нассау-Зигенский,мужской пол,1604-06-17T00:00:00Z,1679-12-20T00:00:00Z,75,Германия,Германия,Базельский университет
http://www.wikidata.org/entity/Q3320252,Санта-Мария-ла-Реал-де-Нахера,http://www.wikidata.org/entity/Q359043,Гарсия III,мужской пол,1012-01-01T00:00:00Z,1054-09-01T00:00:00Z,42,Испания,Испания,
http://www.wikidata.org/entity/Q6057871,Palacio de Biblioteca y Museos Nacionales,http://www.wikidata.org/entity/Q183085,Изабелла II,женский пол,1830-10-10T00:00:00Z,1904-04-09T00:00:00Z,74,Испания,Франция,
http://www.wikidata.org/entity/Q54887627,Al-Hurr ibn Yazid Al-Tamimi Mosque,http://www.wikidata.org/entity/Q214559,Исмаил I,мужской пол,1487-07-17T00:00:00Z,1524-05-23T00:00:00Z,37,Иран,Иран,
http://www.wikidata.org/entity/Q688614,Чумная колонна,http://www.wikidata.org/entity/Q223421,Леопольд I,мужской пол,1293-08-11T00:00:00Z,1326-03-08T00:00:00Z,33,Австрия,Франция,
http://www.wikidata.org/entity/Q279689,Монастырь Баньска,http://www.wikidata.org/entity/Q319597,Стефан Урош II Милутин,мужской пол,1253-01-01T00:00:00Z,1321-11-20T00:00:00Z,68,,Сербия,
http://www.wikidata.org/entity/Q5957084,Мавзолей Надир-шаха,http://www.wikidata.org/entity/Q192868,Надир-шах,мужской пол,1698-08-06T00:00:00Z,1747-06-19T00:00:00Z,49,Иран,Иран,
http://www.wikidata.org/entity/Q9178857,Gate building of the Pszczyna Palace,http://www.wikidata.org/entity/Q121895,Balthasar von Promnitz,мужской пол,1488-01-01T00:00:00Z,1562-01-30T00:00:00Z,74,Польша,Польша,Галле-Виттенбергский университет
http://www.wikidata.org/entity/Q5957084,Мавзолей Надир-шаха,http://www.wikidata.org/entity/Q192868,Надир-шах,мужской пол,1688-10-22T00:00:00Z,1747-06-20T00:00:00Z,59,Иран,Иран,
http://www.wikidata.org/entity/Q5776807,коллегиальная церковь Сан-Косме в Сан-Дамиане,http://www.wikidata.org/entity/Q334796,Хиндасвинт,мужской пол,0563-01-01T00:00:00Z,0653-10-03T00:00:00Z,90,Андорра,Испания,
http://www.wikidata.org/entity/Q1186324,Тамаудун,http://www.wikidata.org/entity/Q281765,Сё Син,мужской пол,1465-01-01T00:00:00Z,1526-01-01T00:00:00Z,61,Япония,Япония,
http://www.wikidata.org/entity/Q238990,Мемориальный музей Холокоста,http://www.wikidata.org/entity/Q380363,Джек Трэмиел,мужской пол,1928-12-13T00:00:00Z,2012-04-08T00:00:00Z,84,Польша,США,
http://www.wikidata.org/entity/Q5909702,Iglesia de Nuestra Señora del Manzano,http://www.wikidata.org/entity/Q232323,Беренгария Кастильская,женский пол,1180-06-08T00:00:00Z,1246-11-15T00:00:00Z,66,Испания,Испания,
http://www.wikidata.org/entity/Q7070003,медресе Нурийя,http://www.wikidata.org/entity/Q312973,Нур ад-Дин Махмуд,мужской пол,1118-02-18T00:00:00Z,1174-05-22T00:00:00Z,56,Хамданиды,Сирия,
http://www.wikidata.org/entity/Q25421014,Дюрбе Джанике-ханым,http://www.wikidata.org/entity/Q309585,Тохтамыш,мужской пол,1342-01-01T00:00:00Z,1406-01-01T00:00:00Z,64,,Россия,
http://www.wikidata.org/entity/Q106948777,Allendale Plantation,http://www.wikidata.org/entity/Q328192,Henry Watkins Allen,мужской пол,1820-04-29T00:00:00Z,1866-04-22T00:00:00Z,46,США,Мексика,Гарвардская школа права
http://www.wikidata.org/entity/Q22689848,Мавзолей имама Хасана аль-Басри,http://www.wikidata.org/entity/Q284750,Ан-Насир,мужской пол,1158-08-13T00:00:00Z,1225-10-12T00:00:00Z,67,Ирак,Ирак,
http://www.wikidata.org/entity/Q1760591,Yushima Seidō,http://www.wikidata.org/entity/Q313745,Токугава Цунаёси,мужской пол,1646-02-23T00:00:00Z,1709-02-19T00:00:00Z,63,Япония,Япония,
http://www.wikidata.org/entity/Q115856,Дзуйходэн,http://www.wikidata.org/entity/Q115852,Тадамунэ Датэ,мужской пол,1600-01-23T00:00:00Z,1658-08-10T00:00:00Z,58,Сёгунат Токугава,Япония,
http://www.wikidata.org/entity/Q106948777,Allendale Plantation,http://www.wikidata.org/entity/Q328192,Henry Watkins Allen,мужской пол,1820-04-29T00:00:00Z,1866-04-22T00:00:00Z,46,США,Мексика,Marion College
http://www.wikidata.org/entity/Q890652,Церковь Богородица Левишка,http://www.wikidata.org/entity/Q319597,Стефан Урош II Милутин,мужской пол,1253-01-01T00:00:00Z,1321-11-20T00:00:00Z,68,,Сербия,
http://www.wikidata.org/entity/Q5736,Амарна,http://www.wikidata.org/entity/Q81794,Эхнатон,мужской пол,-1400-01-01T00:00:00Z,-1335-01-01T00:00:00Z,65,Египет,Египет,
http://www.wikidata.org/entity/Q205524,Монастырь Энкарнасьон,http://www.wikidata.org/entity/Q157089,Маргарита Австрийская,женский пол,1584-12-25T00:00:00Z,1611-10-03T00:00:00Z,27,Австрия,Испания,
http://www.wikidata.org/entity/Q9004968,Hospital del Rey,http://www.wikidata.org/entity/Q232144,Элеонора Английская,женский пол,1161-09-01T00:00:00Z,1214-11-07T00:00:00Z,53,Франция,Испания,
http://www.wikidata.org/entity/Q3327561,Монастырь Сан-Хулиан де Самос,http://www.wikidata.org/entity/Q450361,Мартин Брагский,мужской пол,0515-01-01T00:00:00Z,0580-01-01T00:00:00Z,65,Римская империя,Португалия,
http://www.wikidata.org/entity/Q2564552,Монумент нейтралитета,http://www.wikidata.org/entity/Q82918,Сапармурат Атаевич Ниязов,мужской пол,1940-02-19T00:00:00Z,2006-12-21T00:00:00Z,66,Туркменистан,Туркменистан,Санкт-Петербургский политехнический университет Петра Великого
http://www.wikidata.org/entity/Q1321720,Сан-Херонимо де Котальба,http://www.wikidata.org/entity/Q436624,Альфонсо де Арагон и Вейя,мужской пол,1332-01-01T00:00:00Z,1412-03-14T00:00:00Z,80,Испания,Испания,
